Input	Input_source	Output	Output_source
C03961	KEGG	CHEBI:33196	ChEBI
C00885	KEGG	CHEBI:29780	ChEBI
C03147	KEGG	CHEBI:16872	ChEBI
C02730	KEGG	CHEBI:18325	ChEBI
C02214	KEGG	CHEBI:36460	ChEBI
C03063	KEGG	CHEBI:17205	ChEBI
C04462	KEGG	CHEBI:15685	ChEBI
C02226	KEGG	CHEBI:30719	ChEBI
C02123	KEGG	CHEBI:15594	ChEBI
C00209	KEGG	CHEBI:30623	ChEBI
C00441	KEGG	CHEBI:13086	ChEBI
C00060	KEGG	CHEBI:35757	ChEBI
C00033	KEGG	CHEBI:30089	ChEBI
C06108	KEGG	CHEBI:18172	ChEBI
C03077	KEGG	CHEBI:16237	ChEBI
C06207	KEGG	CHEBI:28440	ChEBI
C00544	KEGG	CHEBI:16169	ChEBI
C01161	KEGG	CHEBI:17612	ChEBI
C01983	KEGG	CHEBI:32382	ChEBI
C01984	KEGG	CHEBI:17756	ChEBI
C05584	KEGG	CHEBI:27622	ChEBI
C05343	KEGG	CHEBI:27996	ChEBI
C03198	KEGG	CHEBI:17210	ChEBI
C00160	KEGG	CHEBI:29805	ChEBI
C03508	KEGG	CHEBI:16944	ChEBI
C03682	KEGG	CHEBI:17982	ChEBI
C00222	KEGG	CHEBI:33190	ChEBI
C06006	KEGG	CHEBI:49256	ChEBI
C00164	KEGG	CHEBI:13705	ChEBI
C02367	KEGG	CHEBI:29743	ChEBI
C05572	KEGG	CHEBI:27467	ChEBI
C03767	KEGG	CHEBI:15777	ChEBI
C03273	KEGG	CHEBI:16120	ChEBI
C06102	KEGG	CHEBI:18322	ChEBI
C06651	KEGG	CHEBI:29000	ChEBI
C07734	KEGG	CHEBI:19327	ChEBI
C07731	KEGG	CHEBI:36538	ChEBI
C11405	KEGG	CHEBI:29001	ChEBI
C11419	KEGG	CHEBI:211	ChEBI
C08062	KEGG	CHEBI:36537	ChEBI
C02119	KEGG	CHEBI:57278	ChEBI
C01092	KEGG	CHEBI:12266	ChEBI
C06645	KEGG	CHEBI:2226	ChEBI
C22503	KEGG	CHEBI:15720	ChEBI
C04181	KEGG	CHEBI:11812	ChEBI
C00141	KEGG	CHEBI:11851	ChEBI
C00022	KEGG	CHEBI:15361	ChEBI
C00168	KEGG	CHEBI:17180	ChEBI
C03232	KEGG	CHEBI:18110	ChEBI
C04264	KEGG	CHEBI:17468	ChEBI
C00166	KEGG	CHEBI:18005	ChEBI
